timestep,agent,x-coord,y-coord
14,6,16,6
14,7,17,7
14,8,14,50
14,9,10,50
14,10,5,43
14,11,12,50
15,-1,7,27
15,0,18,27
15,1,19,26
15,2,15,30
15,3,12,17
15,4,8,15
15,5,17,6
15,6,17,6
15,7,18,7
15,8,15,50
15,9,11,50
15,10,6,43
15,11,13,50
16,-1,7,27
16,0,19,27
16,1,20,26
16,2,16,30
16,3,13,17
16,4,9,15
16,5,18,6
16,6,17,7
16,7,19,7
16,8,16,50
16,9,12,50
16,10,6,42
16,11,14,50
17,-1,7,27
17,0,20,27
17,1,21,26
17,2,17,30
17,3,13,16
17,4,8,15
17,5,19,6
17,6,17,8
17,7,20,7
17,8,16,50
17,9,13,50
17,10,6,41
17,11,15,50
18,-1,7,27
18,0,19,27
18,1,22,26
18,2,17,31
18,3,13,17
18,4,8,14
18,5,20,6
18,6,18,8
18,7,21,7
18,8,17,50
18,9,14,50
18,10,5,41
18,11,16,50
19,-1,7,27
19,0,20,27
19,1,21,26
19,2,18,31
19,3,13,16
19,4,8,15
19,5,21,6
19,6,17,8
19,7,22,7
19,8,18,50
19,9,15,50
19,10,4,41
19,11,17,50
20,-1,7,27
20,0,21,27
20,1,22,26
20,2,18,32
20,3,14,16
20,4,9,15
20,5,22,6
20,6,18,8
20,7,22,6
20,8,17,50
20,9,16,50
20,10,5,41
20,11,18,50
21,-1,7,27
21,0,22,27
21,1,23,26
21,2,19,32
21,3,14,15
21,4,9,16
21,5,22,7
21,6,19,8
21,7,22,7
21,8,17,49
21,9,17,50
21,10,5,40
21,11,19,50
22,-1,7,27
22,0,23,27
22,1,24,26
22,2,19,33
22,3,15,15
22,4,10,16
22,5,23,7
22,6,20,8
22,7,21,7
22,8,17,48
22,9,18,50
22,10,6,40
22,11,20,50
23,-1,7,27
23,0,23,26
23,1,24,25
23,2,20,33
23,3,15,14
23,4,10,17
23,5,23,8
23,6,21,8
23,7,22,7
23,8,17,47
23,9,19,50
23,10,6,41
23,11,21,50
24,-1,7,27
24,0,24,26
24,1,24,26
24,2,20,34
24,3,16,14
24,4,11,17
24,5,23,9
24,6,22,8
24,7,23,7
24,8,17,46
24,9,20,50
24,10,7,41
24,11,22,50
25,-1,7,27
25,0,24,25
25,1,24,25
25,2,21,34
25,3,16,13
25,4,11,18
25,5,24,9
25,6,22,7
25,7,23,8
25,8,17,45
25,9,20,50
25,10,7,40
25,11,23,50
26,-1,7,27
26,0,25,25
26,1,25,25
26,2,21,35
26,3,17,13
26,4,12,18
26,5,25,9
26,6,22,8
26,7,24,8
26,8,17,44
26,9,21,50
26,10,7,39
26,11,24,50
27,-1,7,27
27,0,25,24
27,1,25,24
27,2,22,35
27,3,18,13
27,4,11,18
27,5,24,9
27,6,22,9
27,7,24,9
27,8,17,43
27,9,22,50
27,10,8,39
27,11,25,50
28,-1,7,27
28,0,26,24
28,1,26,24
28,2,22,36
28,3,18,12
28,4,12,18
28,5,25,9
28,6,22,10
28,7,25,9
28,8,17,42
28,9,23,50
28,10,8,38
28,11,24,50
29,-1,7,27
29,0,26,23
29,1,26,23
29,2,23,36
29,3,18,11
29,4,12,19
29,5,25,10
29,6,22,11
29,7,25,10
29,8,17,41
29,9,24,50
29,10,9,38
29,11,25,50
30,-1,7,27
30,0,26,22
30,1,27,23
30,2,23,37
30,3,19,11
30,4,13,19
30,5,26,10
30,6,22,12
30,7,26,10
30,8,17,40
30,9,25,50
30,10,9,37
30,11,26,50
31,-1,7,27
31,0,27,22
31,1,26,23
31,2,24,37
31,3,19,10
31,4,13,20
31,5,25,10
31,6,22,13
31,7,25,10
31,8,17,39
31,9,25,49
31,10,10,37
31,11,27,50
32,-1,7,27
32,0,27,21
32,1,26,24
32,2,24,38
32,3,20,10
32,4,14,20
32,5,26,10
32,6,22,14
32,7,26,10
32,8,18,39
32,9,26,49
32,10,10,36
32,11,26,50
33,-1,7,27
33,0,27,20
33,1,26,25
33,2,25,38
33,3,20,9
33,4,14,21
33,5,26,11
33,6,22,15
33,7,27,10
33,8,18,38
33,9,27,49
33,10,11,36
33,11,27,50
34,-1,7,27
34,0,28,20
34,1,26,26
34,2,25,39
34,3,21,9
34,4,15,21
34,5,27,11
34,6,22,16
34,7,27,11
34,8,17,38
34,9,28,49
34,10,11,35
34,11,28,50
35,-1,7,27
35,0,28,19
35,1,26,27
35,2,26,39
35,3,21,8
35,4,15,22
35,5,27,12
35,6,22,17
35,7,27,12
35,8,17,37
35,9,29,49
35,10,12,35
35,11,29,50
36,-1,7,27
36,0,28,18
36,1,26,28
36,2,26,40
36,3,22,8
36,4,15,23
36,5,28,12
36,6,22,18
36,7,28,12
36,8,17,36
36,9,30,49
36,10,12,34
36,11,30,50
37,-1,7,27
37,0,28,17
37,1,26,29
37,2,27,40
37,3,22,7
37,4,16,23
37,5,28,13
37,6,22,17
37,7,28,13
37,8,17,35
37,9,31,49
37,10,13,34
37,11,31,50
38,-1,7,27
38,0,28,16
38,1,26,30
38,2,27,41
38,3,23,7
38,4,17,23
38,5,29,13
38,6,22,18
38,7,29,13
38,8,17,34
38,9,32,49
38,10,13,33
38,11,32,50
39,-1,7,27
39,0,28,15
39,1,26,31
39,2,28,41
39,3,23,6
39,4,18,23
39,5,29,14
39,6,22,19
39,7,29,14
39,8,17,33
39,9,33,49
39,10,14,33
39,11,33,50
40,-1,7,27
40,0,28,14
40,1,26,32
40,2,28,42
40,3,24,6
40,4,18,24
40,5,30,14
40,6,22,20
40,7,30,14
40,8,17,32
40,9,34,49
40,10,13,33
40,11,34,50
41,-1,7,27
41,0,28,13
41,1,26,33
41,2,28,43
41,3,24,5
41,4,18,25
41,5,30,15
41,6,22,21
41,7,30,15
41,8,17,31
41,9,35,49
41,10,14,33
41,11,34,50
42,-1,7,27
42,0,27,13
42,1,26,34
42,2,28,42
42,3,25,5
42,4,19,25
42,5,31,15
42,6,22,22
42,7,31,15
42,8,17,30
42,9,34,49
42,10,14,32
42,11,35,50
43,-1,7,27
43,0,27,12
43,1,26,35
43,2,28,41
43,3,25,4
43,4,19,26
43,5,31,16
43,6,22,23
43,7,31,16
43,8,17,29
43,9,34,50
43,10,14,33
43,11,36,50
44,-1,7,27
44,0,27,11
44,1,26,36
44,2,28,42
44,3,26,4
44,4,20,26
44,5,32,16
44,6,22,24
44,7,32,16
44,8,18,29
44,9,35,50
44,10,13,33
44,11,37,50
45,-1,7,27
45,0,27,10
45,1,26,37
45,2,28,43
45,3,27,4
45,4,20,27
45,5,32,17
45,6,22,25
45,7,32,17
45,8,18,28
45,9,36,50
45,10,14,33
45,11,38,50
46,-1,7,27
46,0,27,9
46,1,26,38
46,2,28,42
46,3,26,4
46,4,21,27
46,5,33,17
46,6,23,25
46,7,33,17
46,8,19,28
46,9,37,50
46,10,14,32
46,11,38,49
47,-1,7,27
47,0,27,8
47,1,26,39
47,2,28,41
47,3,27,4
47,4,22,27
47,5,33,18
47,6,23,26
47,7,33,18
47,8,19,27
47,9,37,49
47,10,15,32
47,11,38,48
48,-1,7,27
48,0,26,8
48,1,26,40
48,2,28,42
48,3,26,4
48,4,22,28
48,5,34,18
48,6,23,27
48,7,34,18
48,8,19,26
48,9,38,49
48,10,15,31
48,11,39,48
49,-1,7,27
49,0,26,7
49,1,27,40
49,2,28,43
49,3,27,4
49,4,22,29
49,5,34,19
49,6,23,28
49,7,34,19
49,8,19,27
49,9,38,50
49,10,16,31
49,11,39,47
50,-1,8,27
50,0,26,6
50,1,27,41
50,2,29,43
50,3,28,4
50,4,23,29
50,5,35,19
50,6,23,29
50,7,35,19
50,8,20,27
50,9,38,49
50,10,16,30
50,11,40,47
51,-1,9,27
51,0,26,5
51,1,28,41
51,2,28,43
51,3,27,4
51,4,23,30
51,5,35,20
51,6,23,30
51,7,35,20
51,8,20,26
51,9,38,48
51,10,17,30
51,11,41,47
52,-1,10,28
52,0,26,4
52,1,28,42
52,2,28,42
52,3,26,4
52,4,23,31
52,5,36,20
52,6,24,30
52,7,36,20
52,8,21,26
52,9,38,49
52,10,17,29
52,11,40,47
53,-1,10,29
53,0,26,3
53,1,28,43
53,2,27,42
53,3,25,4
53,4,24,31
53,5,36,21
53,6,24,31
53,7,36,21
53,8,21,25
53,9,38,48
53,10,18,29
53,11,39,47
54,-1,10,30
54,0,26,4
54,1,28,42
54,2,27,41
54,3,26,4
54,4,25,31
54,5,37,21
54,6,25,31
54,7,36,22
54,8,22,25
54,9,39,48
54,10,18,28
54,11,40,47
55,-1,11,30
55,0,26,5
55,1,28,41
55,2,28,41
55,3,27,4
55,4,26,31
55,5,37,22
55,6,25,32
55,7,37,22
55,8,22,24
55,9,39,47
55,10,19,28
55,11,41,47
56,-1,12,30
56,0,26,6
56,1,28,42
56,2,28,42
56,3,26,4
56,4,26,32
56,5,38,22
56,6,24,32
56,7,38,22
56,8,23,24
56,9,40,47
56,10,19,27
56,11,40,47
57,-1,12,30
57,0,25,6
57,1,28,43
57,2,28,43
57,3,25,4
57,4,26,33
57,5,38,23
57,6,25,32
57,7,38,23
57,8,23,23
57,9,41,47
57,10,20,27
57,11,39,47
58,-1,12,31
58,0,25,5
58,1,27,43
58,2,28,42
58,3,26,4
58,4,27,33
58,5,39,23
58,6,26,32
58,7,39,23
58,8,24,23
58,9,40,47
58,10,20,26
58,11,39,48
59,-1,12,32
59,0,25,4
59,1,27,42
59,2,28,41
59,3,27,4
59,4,27,34
59,5,39,24
59,6,26,33
59,7,40,23
59,8,24,22
59,9,39,47
59,10,21,26
59,11,39,47
60,-1,13,32
60,0,26,4
60,1,28,42
60,2,29,41
60,3,26,4
60,4,28,34
60,5,38,24
60,6,27,33
60,7,40,24
60,8,24,23
60,9,40,47
60,10,20,26
60,11,40,47
61,-1,13,33
61,0,27,4
61,1,29,42
61,2,29,42
61,3,25,4
61,4,27,34
61,5,39,24
61,6,28,33
61,7,40,23
61,8,24,22
61,9,41,47
61,10,20,25
61,11,41,47
62,-1,13,34
62,0,26,4
62,1,28,42
62,2,28,42
62,3,26,4
62,4,26,34
62,5,40,24
62,6,28,34
62,7,40,24
62,8,25,22
62,9,40,47
62,10,21,25
62,11,40,47
63,-1,14,34
63,0,25,4
63,1,27,42
63,2,27,42
63,3,27,4
63,4,27,34
63,5,40,25
63,6,28,35
63,7,40,25
63,8,26,22
63,9,39,47
63,10,22,25
63,11,40,46
64,-1,15,34
64,0,25,3
64,1,28,42
64,2,28,42
64,3,26,4
64,4,28,34
64,5,41,25
64,6,28,34
64,7,40,24
64,8,26,21
64,9,40,47
64,10,22,24
64,11,40,47
65,-1,15,35
65,0,26,3
65,1,29,42
65,2,28,43
65,3,25,4
65,4,28,35
65,5,41,26
65,6,28,35
65,7,40,25
65,8,27,21
65,9,41,47
65,10,23,24
65,11,40,48
66,-1,15,36
66,0,26,4
66,1,28,42
66,2,28,42
66,3,26,4
66,4,29,35
66,5,42,26
66,6,29,35
66,7,39,25
66,8,27,20
66,9,41,46
66,10,23,23
66,11,40,47
67,-1,16,36
67,0,26,5
67,1,27,42
67,2,27,42
67,3,27,4
67,4,29,36
67,5,42,27
67,6,29,36
67,7,40,25
67,8,27,19
67,9,41,47
67,10,24,23
67,11,40,46
68,-1,16,37
68,0,26,4
68,1,28,42
68,2,28,42
68,3,26,4
68,4,30,36
68,5,42,28
68,6,30,36
68,7,41,25
68,8,28,19
68,9,40,47
68,10,24,22
68,11,39,46
69,-1,17,37
69,0,26,3
69,1,29,42
69,2,29,42
69,3,25,4
69,4,30,37
69,5,43,28
69,6,30,37
69,7,41,26
69,8,28,18
69,9,39,47
69,10,25,22
69,11,40,46
70,-1,18,37
70,0,26,4
70,1,28,42
70,2,28,42
70,3,26,4
70,4,31,37
70,5,42,28
70,6,31,37
70,7,42,26
70,8,29,18
70,9,40,47
70,10,24,22
70,11,40,47
71,-1,19,37
71,0,26,5
71,1,28,41
71,2,28,41
71,3,26,5
71,4,31,38
71,5,43,28
71,6,32,37
71,7,42,25
71,8,29,17
71,9,40,46
71,10,25,22
71,11,39,47
72,-1,20,38
72,0,26,6
72,1,28,40
72,2,28,40
72,3,25,5
72,4,32,38
72,5,42,28
72,6,32,36
72,7,42,26
72,8,29,16
72,9,40,45
72,10,25,21
72,11,38,47
73,-1,20,39
73,0,26,7
73,1,29,40
73,2,28,39
73,3,26,5
73,4,32,39
73,5,42,27
73,6,32,37
73,7,42,25
73,8,29,15
73,9,40,44
73,10,26,21
73,11,37,47
74,-1,21,39
74,0,26,8
74,1,29,39
74,2,28,38
74,3,26,4
74,4,32,40
74,5,42,26
74,6,31,37
74,7,42,24
74,8,29,14
74,9,40,43
74,10,26,20
74,11,36,47
75,-1,22,39
75,0,26,9
75,1,30,39
75,2,28,37
75,3,26,5
75,4,31,40
75,5,42,27
75,6,32,37
75,7,42,23
75,8,29,13
75,9,40,42
75,10,27,20
75,11,35,47
76,-1,22,38
76,0,26,10
76,1,30,40
76,2,27,37
76,3,26,6
76,4,32,40
76,5,42,28
76,6,32,36
76,7,42,22
76,8,29,12
76,9,40,41
76,10,27,19
76,11,34,47
77,-1,22,37
77,0,27,10
77,1,30,39
77,2,27,36
77,3,26,7
77,4,33,40
77,5,42,27
77,6,33,36
77,7,42,21
77,8,29,11
77,9,40,40
77,10,28,19
77,11,33,47
78,-1,23,37
78,0,27,11
78,1,30,38
78,2,27,35
78,3,26,8
78,4,34,40
78,5,42,26
78,6,33,35
78,7,42,20
78,8,29,10
78,9,40,39
78,10,28,18
78,11,32,47
79,-1,24,37
79,0,27,12
79,1,31,38
79,2,27,34
79,3,26,9
79,4,34,41
79,5,42,27
79,6,33,34
79,7,41,20
79,8,29,9
79,9,40,38
79,10,29,18
79,11,32,46
80,-1,24,36
80,0,28,12
80,1,31,37
80,2,27,33
80,3,26,10
80,4,35,41
80,5,42,28
80,6,34,34
80,7,41,19
80,8,29,8
80,9,40,37
80,10,29,17
80,11,31,46
81,-1,24,35
81,0,28,13
81,1,32,37
81,2,26,33
81,3,26,9
81,4,35,42
81,5,42,29
81,6,35,34
81,7,42,19
81,8,29,7
81,9,40,36
81,10,30,17
81,11,31,45
82,-1,24,34
82,0,29,13
82,1,32,36
82,2,26,32
82,3,26,10
82,4,35,43
82,5,42,30
82,6,35,33
82,7,41,19
82,8,28,7
82,9,40,35
82,10,30,16
82,11,30,45
83,-1,24,33
83,0,29,14
83,1,33,36
83,2,26,31
83,3,26,11
83,4,35,42
83,5,42,29
83,6,36,33
83,7,40,19
83,8,28,6
83,9,40,34
83,10,31,16
83,11,30,44
84,-1,25,33
84,0,30,14
84,1,33,35
84,2,26,30
84,3,26,12
84,4,36,42
84,5,43,29
84,6,36,32
84,7,40,18
84,8,27,6
84,9,40,33
84,10,30,16
84,11,29,44
85,-1,25,33
85,0,31,14
85,1,33,34
85,2,26,29
85,3,26,13
85,4,36,43
85,5,43,28
85,6,37,32
85,7,39,18
85,8,27,5
85,9,40,32
85,10,30,17
85,11,29,43
86,-1,25,33
86,0,31,15
86,1,34,34
86,2,26,28
86,3,26,14
86,4,36,44
86,5,42,28
86,6,38,32
86,7,38,18
86,8,26,5
86,9,40,31
86,10,30,16
86,11,29,42
87,-1,25,34
87,0,31,14
87,1,34,35
87,2,26,27
87,3,26,15
87,4,37,44
87,5,42,27
87,6,38,31
87,7,38,17
87,8,26,4
87,9,40,32
87,10,31,16
87,11,29,41
88,-1,26,34
88,0,31,15
88,1,34,34
88,2,26,26
88,3,26,16
88,4,38,44
88,5,42,28
88,6,38,30
88,7,38,16
88,8,26,5
88,9,40,31
88,10,31,15
88,11,29,40
89,-1,27,34
89,0,31,16
89,1,33,34
89,2,26,25
89,3,26,17
89,4,38,43
89,5,42,27
89,6,39,30
89,7,37,16
89,8,26,4
89,9,40,30
89,10,32,15
89,11,29,39
90,-1,28,35
90,0,32,16
90,1,34,34
90,2,26,24
90,3,26,18
90,4,38,44
90,5,42,26
90,6,40,30
90,7,37,15
90,8,26,3
90,9,40,29
90,10,32,14
90,11,30,39
91,-1,28,36
91,0,32,17
91,1,35,34
91,2,26,23
91,3,26,19
91,4,38,43
91,5,42,27
91,6,40,29
91,7,38,15
91,8,27,3
91,9,40,30
91,10,33,14
91,11,30,38
92,-1,29,36
92,0,33,17
92,1,35,33
92,2,27,23
92,3,26,20
92,4,38,42
92,5,42,28
92,6,41,29
92,7,37,15
92,8,27,4
92,9,40,29
92,10,33,13
92,11,29,38
93,-1,30,36
93,0,33,18
93,1,36,33
93,2,27,22
93,3,26,21
93,4,38,41
93,5,41,28
93,6,40,29
93,7,36,15
93,8,28,4
93,9,40,28
93,10,34,13
93,11,30,38
94,-1,30,37
94,0,34,18
94,1,36,32
94,2,27,21
94,3,26,22
94,4,38,40
94,5,41,27
94,6,40,28
94,7,36,14
94,8,27,4
94,9,41,28
94,10,34,12
94,11,31,38
95,-1,30,38
95,0,33,18
95,1,37,32
95,2,27,20
95,3,26,23
95,4,38,39
95,5,42,27
95,6,41,28
95,7,35,14
95,8,26,4
95,9,41,27
95,10,35,12
95,11,31,37
96,-1,31,38
96,0,34,18
96,1,36,32
96,2,27,19
96,3,26,24
96,4,38,38
96,5,43,27
96,6,41,27
96,7,35,15
96,8,25,4
96,9,42,27
96,10,36,12
96,11,32,37
97,-1,32,38
97,0,34,19
97,1,37,32
97,2,27,20
97,3,26,25
97,4,38,37
97,5,44,27
97,6,40,27
97,7,35,16
97,8,25,5
97,9,43,27
97,10,35,12
97,11,32,36
98,-1,32,37
98,0,35,19
98,1,37,31
98,2,27,21
98,3,26,24
98,4,38,36
98,5,43,27
98,6,41,27
98,7,35,17
98,8,25,4
98,9,43,28
98,10,34,12
98,11,33,36
99,-1,33,37
99,0,35,20
99,1,38,31
99,2,28,21
99,3,26,25
99,4,38,35
99,5,42,27
99,6,42,27
99,7,35,18
99,8,26,4
99,9,42,28
99,10,35,12
99,11,33,35
100,-1,32,37
100,0,36,20
100,1,37,31
100,2,29,21
100,3,26,26
100,4,38,36
100,5,41,27
100,6,43,27
100,7,35,19
100,8,25,4
100,9,42,27
100,10,36,12
100,11,34,35
101,-1,33,37
101,0,36,21
101,1,37,32
101,2,28,21
101,3,25,26
101,4,38,35
101,5,42,27
101,6,42,27
101,7,35,20
101,8,26,4
101,9,42,28
101,10,35,12
101,11,35,35
102,-1,33,37
102,0,37,21
102,1,37,31
102,2,29,21
102,3,25,27
102,4,38,34
102,5,43,27
102,6,41,27
102,7,36,20
102,8,27,4
102,9,42,27
102,10,35,11
102,11,35,34
103,-1,33,37
103,0,37,22
103,1,38,31
103,2,30,21
103,3,26,27
103,4,38,33
103,5,42,27
103,6,42,27
103,7,36,21
103,8,26,4
103,9,42,26
103,10,35,12
103,11,35,35
104,-1,33,36
104,0,38,22
104,1,38,30
104,2,31,21
104,3,26,28
104,4,38,32
104,5,43,27
104,6,43,27
104,7,37,21
104,8,25,4
104,9,42,27
104,10,35,13
104,11,35,34
105,-1,34,36
105,0,37,22
105,1,39,30
105,2,31,20
105,3,25,28
105,4,38,31
105,5,42,27
105,6,42,27
105,7,37,22
105,8,26,4
105,9,42,28
105,10,34,13
105,11,35,33
106,-1,34,35
106,0,36,22
106,1,39,29
106,2,32,20
106,3,25,29
106,4,38,30
106,5,43,27
106,6,41,27
106,7,38,22
106,8,27,4
106,9,42,27
106,10,34,12
106,11,35,32
107,-1,34,34
107,0,37,22
107,1,40,29
107,2,33,20
107,3,24,29
107,4,39,30
107,5,42,27
107,6,42,27
107,7,38,21
107,8,26,4
107,9,43,27
107,10,34,11
107,11,36,32
108,-1,34,33
108,0,38,22
108,1,40,28
108,2,34,20
108,3,25,29
108,4,39,29
108,5,41,27
108,6,42,28
108,7,38,22
108,8,25,4
108,9,42,27
108,10,35,11
108,11,37,32
109,-1,35,33
109,0,38,23
109,1,41,28
109,2,35,20
109,3,26,29
109,4,40,29
109,5,42,27
109,6,42,27
109,7,37,22
109,8,26,4
109,9,41,27
109,10,35,12
109,11,37,33
110,-1,35,32
110,0,39,23
110,1,41,27
110,2,35,19
110,3,27,29
110,4,40,28
110,5,43,27
110,6,42,26
110,7,38,22
110,8,27,4
110,9,42,27
110,10,35,13
110,11,37,32
111,-1,36,32
111,0,39,22
111,1,42,27
111,2,35,20
111,3,28,29
111,4,41,28
111,5,42,27
111,6,42,27
111,7,38,23
111,8,27,3
111,9,43,27
111,10,36,13
111,11,37,31
112,-1,37,32
112,0,39,23
112,1,43,27
112,2,36,20
112,3,29,29
112,4,41,27
112,5,41,27
112,6,42,28
112,7,39,23
112,8,27,4
112,9,42,27
112,10,36,12
112,11,38,31
113,-1,38,32
113,0,39,24
113,1,42,27
113,2,36,21
113,3,30,29
113,4,42,27
113,5,42,27
113,6,42,27
113,7,39,24
113,8,26,4
113,9,41,27
113,10,36,11
113,11,38,30
114,-1,39,32
114,0,40,24
114,1,41,27
114,2,36,22
114,3,31,29
114,4,43,27
114,5,43,27
114,6,42,26
114,7,39,25
114,8,25,4
114,9,42,27
114,10,37,11
114,11,39,30
115,-1,39,31
115,0,40,23
115,1,42,27
115,2,35,22
115,3,32,29
115,4,42,27
115,5,42,27
115,6,42,27
115,7,40,25
115,8,26,4
115,9,43,27
115,10,36,11
115,11,39,29
116,-1,40,31
116,0,40,24
116,1,43,27
116,2,36,22
116,3,32,30
116,4,41,27
116,5,41,27
116,6,42,28
116,7,41,25
116,8,27,4
116,9,44,27
116,10,36,12
116,11,40,29
117,-1,41,31
117,0,40,25
117,1,42,27
117,2,36,23
117,3,33,30
117,4,42,27
117,5,42,27
117,6,42,27
117,7,41,26
117,8,26,4
117,9,43,27
117,10,35,12
117,11,40,30
118,-1,41,30
118,0,40,24
118,1,41,27
118,2,37,23
118,3,34,30
118,4,43,27
118,5,43,27
118,6,42,26
118,7,42,26
118,8,25,4
118,9,43,26
118,10,34,12
118,11,40,29
119,-1,42,30
119,0,40,25
119,1,42,27
119,2,37,22
119,3,35,30
119,4,42,27
119,5,42,27
119,6,42,27
119,7,42,27
119,8,26,4
119,9,43,27
119,10,35,12
119,11,40,28
120,-1,42,29
120,0,40,24
120,1,43,27
120,2,38,22
120,3,36,30
120,4,42,28
120,5,41,27
120,6,42,28
120,7,42,28
120,8,27,4
120,9,42,27
120,10,36,12
120,11,41,28
121,-1,42,28
121,0,40,25
121,1,42,27
121,2,38,23
121,3,37,30
121,4,42,29
121,5,42,27
121,6,42,27
121,7,42,27
121,8,26,4
121,9,41,27
121,10,35,12
121,11,41,27
122,-1,41,28
122,0,41,25
122,1,43,27
122,2,39,23
122,3,38,30
122,4,43,29
122,5,43,27
122,6,42,26
122,7,42,26
122,8,25,4
122,9,42,27
122,10,34,12
122,11,42,27
123,-1,40,28
123,0,41,26
123,1,42,27
123,2,39,24
123,3,39,30
123,4,43,28
123,5,42,27
123,6,42,27
123,7,43,26
123,8,26,4
123,9,43,27
123,10,35,12
123,11,43,27
124,-1,39,28
124,0,42,26
124,1,41,27
124,2,40,24
124,3,39,29
124,4,42,28
124,5,42,28
124,6,41,27
124,7,43,27
124,8,27,4
124,9,42,27
124,10,36,12
124,11,42,27
125,-1,40,28
125,0,42,27
125,1,42,27
125,2,41,24
125,3,40,29
125,4,42,27
125,5,42,27
125,6,41,26
125,7,42,27
125,8,26,4
125,9,42,26
125,10,35,12
125,11,41,27
126,-1,41,28
126,0,42,28
126,1,43,27
126,2,41,25
126,3,40,28
126,4,42,26
126,5,42,26
126,6,41,27
126,7,41,27
126,8,25,4
126,9,42,27
126,10,34,12
126,11,42,27
127,-1,42,28
127,0,42,27
127,1,42,27
127,2,41,26
127,3,41,28
127,4,42,27
127,5,43,26
127,6,42,27
127,7,42,27
127,8,25,5
127,9,41,27
127,10,35,12
127,11,43,27
128,-1,41,27
128,0,42,26
128,1,41,27
128,2,42,26
128,3,41,27
128,4,42,28
128,5,43,27
128,6,43,27
128,7,43,27
128,8,25,6
128,9,41,26
128,10,36,12
128,11,42,27
129,-1,42,27
129,0,42,27
129,1,42,27
129,2,42,27
129,3,42,27
129,4,42,27
129,5,42,27
129,6,42,27
129,7,42,27
129,8,25,5
129,9,42,26
129,10,35,12
129,11,41,27
130,-1,43,27
130,0,42,28
130,1,43,27
130,2,42,28
130,3,43,27
130,4,42,28
130,5,41,27
130,6,41,27
130,7,41,27
130,8,24,5
130,9,42,27
130,10,34,12
130,11,42,27
131,-1,42,27
131,0,41,28
131,1,42,27
131,2,42,27
131,3,42,27
131,4,42,27
131,5,42,27
131,6,42,27
131,7,42,27
131,8,25,5
131,9,42,28
131,10,35,12
131,11,42,26
132,-1,43,27
132,0,41,27
132,1,43,27
132,2,42,26
132,3,42,28
132,4,42,26
132,5,43,27
132,6,43,27
132,7,43,27
132,8,25,4
132,9,42,29
132,10,36,12
132,11,42,27
133,-1,43,27
133,0,42,27
133,1,43,28
133,2,42,27
133,3,42,27
133,4,43,26
133,5,42,27
133,6,42,27
133,7,42,27
133,8,26,4
133,9,42,28
133,10,35,12
133,11,42,26
